date,store_nbr,transactions
2013-01-01,25,770.0
2013-01-02,1,2111.0
2013-01-02,2,2358.0
2013-01-02,3,3487.0
2013-01-02,4,1922.0
2013-01-02,5,1903.0
2013-01-02,6,2143.0
2013-01-02,7,1874.0
2013-01-02,8,3250.0
2013-01-02,9,2940.0
2013-01-02,10,1293.0
2013-01-02,11,3547.0
2013-01-02,12,1362.0
2013-01-02,13,1102.0
2013-01-02,14,2002.0
2013-01-02,15,1622.0
2013-01-02,16,1167.0
2013-01-02,17,1580.0
2013-01-02,18,1635.0
2013-01-02,19,1369.0
2013-01-02,23,1381.0
2013-01-02,24,2605.0
2013-01-02,25,1038.0
2013-01-02,26,1008.0
2013-01-02,27,1386.0
2013-01-02,28,950.0
2013-01-02,30,708.0
2013-01-02,31,1401.0
2013-01-02,32,776.0
2013-01-02,33,1163.0
2013-01-02,34,2724.0
2013-01-02,35,786.0
2013-01-02,37,1691.0
2013-01-02,38,1987.0
2013-01-02,39,1587.0
2013-01-02,40,1178.0
2013-01-02,41,915.0
2013-01-02,43,1385.0
2013-01-02,44,4821.0
2013-01-02,45,4208.0
2013-01-02,46,4886.0
2013-01-02,47,4161.0
2013-01-02,48,3397.0
2013-01-02,49,2346.0
2013-01-02,50,3077.0
2013-01-02,51,1985.0
2013-01-02,54,998.0
2013-01-03,1,1833.0
2013-01-03,2,2033.0
2013-01-03,3,3026.0
2013-01-03,4,1551.0
2013-01-03,5,1740.0
2013-01-03,6,1795.0
2013-01-03,7,1568.0
2013-01-03,8,2904.0
2013-01-03,9,2396.0
2013-01-03,10,1157.0
2013-01-03,11,2675.0
2013-01-03,12,1248.0
2013-01-03,13,916.0
2013-01-03,14,1823.0
2013-01-03,15,1512.0
2013-01-03,16,1101.0
2013-01-03,17,1339.0
2013-01-03,18,1484.0
2013-01-03,19,1098.0
2013-01-03,23,1181.0
2013-01-03,24,2462.0
2013-01-03,25,887.0
2013-01-03,26,813.0
2013-01-03,27,928.0
2013-01-03,28,749.0
2013-01-03,30,689.0
2013-01-03,31,1126.0
2013-01-03,32,727.0
2013-01-03,33,1168.0
2013-01-03,34,2348.0
2013-01-03,35,725.0
2013-01-03,37,1526.0
2013-01-03,38,1746.0
2013-01-03,39,1426.0
2013-01-03,40,1171.0
2013-01-03,41,809.0
2013-01-03,43,1334.0
2013-01-03,44,3618.0
2013-01-03,45,3314.0
2013-01-03,46,3438.0
2013-01-03,47,3660.0
2013-01-03,48,2887.0
2013-01-03,49,1702.0
2013-01-03,50,2307.0
2013-01-03,51,1644.0
2013-01-03,54,920.0
2013-01-04,1,1863.0
2013-01-04,2,2066.0
2013-01-04,3,3188.0
2013-01-04,4,1596.0
2013-01-04,5,1642.0
2013-01-04,6,1679.0
2013-01-04,7,1513.0
2013-01-04,8,2962.0
2013-01-04,9,1975.0
2013-01-04,10,970.0
2013-01-04,11,2515.0
2013-01-04,12,1064.0
2013-01-04,13,879.0
2013-01-04,14,1641.0
2013-01-04,15,1318.0
2013-01-04,16,977.0
2013-01-04,17,1139.0
2013-01-04,18,1238.0
2013-01-04,19,1003.0
2013-01-04,23,1257.0
2013-01-04,24,2607.0
2013-01-04,25,1054.0
2013-01-04,26,813.0
2013-01-04,27,1034.0
2013-01-04,28,651.0
2013-01-04,30,689.0
2013-01-04,31,1246.0
2013-01-04,32,680.0
2013-01-04,33,948.0
2013-01-04,34,2369.0
2013-01-04,35,630.0
2013-01-04,37,1701.0
2013-01-04,38,1723.0
2013-01-04,39,1285.0
2013-01-04,40,1044.0
2013-01-04,41,835.0
2013-01-04,43,1358.0
2013-01-04,44,4169.0
2013-01-04,45,3630.0
2013-01-04,46,3434.0
2013-01-04,47,3915.0
2013-01-04,48,2900.0
2013-01-04,49,2016.0
2013-01-04,50,2698.0
2013-01-04,51,1786.0
2013-01-04,54,794.0
2013-01-05,1,1509.0
2013-01-05,2,2062.0
2013-01-05,3,3623.0
2013-01-05,4,1825.0
2013-01-05,5,1643.0
2013-01-05,6,2154.0
2013-01-05,7,1599.0
2013-01-05,8,3060.0
2013-01-05,9,2604.0
2013-01-05,10,1269.0
2013-01-05,11,3052.0
2013-01-05,12,1293.0
2013-01-05,13,1336.0
2013-01-05,14,2052.0
2013-01-05,15,1543.0
2013-01-05,16,1109.0
2013-01-05,17,1433.0
2013-01-05,18,1323.0
2013-01-05,19,1713.0
2013-01-05,23,1250.0
2013-01-05,24,2578.0
2013-01-05,25,1355.0
2013-01-05,26,1081.0
2013-01-05,27,1327.0
2013-01-05,28,1033.0
2013-01-05,30,749.0
2013-01-05,31,1317.0
2013-01-05,32,890.0
2013-01-05,33,1217.0
2013-01-05,34,2599.0
2013-01-05,35,723.0
2013-01-05,37,1770.0
2013-01-05,38,2214.0
2013-01-05,39,1851.0
2013-01-05,40,1118.0
2013-01-05,41,1021.0
2013-01-05,43,1205.0
2013-01-05,44,4921.0
2013-01-05,45,4331.0
2013-01-05,46,4935.0
2013-01-05,47,4764.0
2013-01-05,48,4084.0
2013-01-05,49,2562.0
2013-01-05,50,3459.0
2013-01-05,51,2068.0
2013-01-05,54,949.0
2013-01-06,1,520.0
2013-01-06,2,1992.0
2013-01-06,3,3590.0
2013-01-06,4,1891.0
2013-01-06,5,1754.0
2013-01-06,6,2313.0
2013-01-06,7,1431.0
2013-01-06,8,2748.0
2013-01-06,9,2635.0
2013-01-06,10,1173.0
2013-01-06,11,3188.0
2013-01-06,12,1271.0
2013-01-06,13,1008.0
2013-01-06,14,1313.0
2013-01-06,15,1149.0
2013-01-06,16,1323.0
2013-01-06,17,1383.0
2013-01-06,18,1405.0
2013-01-06,19,1157.0
2013-01-06,23,1100.0
2013-01-06,24,2061.0
2013-01-06,25,716.0
2013-01-06,26,1075.0
2013-01-06,27,1614.0
2013-01-06,28,1207.0
2013-01-06,30,667.0
2013-01-06,31,1468.0
2013-01-06,32,772.0
